"","NUM","PAYS","PROV","ZS","POP","NUMSEM","DEBUTSEM","MALADIE","C011MOIS","D011MOIS","C1259MOIS","D1259MOIS","C5ANSP","D5ANSP","CASAGEINC","DECAGEINC","TOTALCAS","TOTALDECES","LETAL","ATTAQ","RecStatus","UniqueKey"
"1","RDCEQTMDK01","RDC","EQUATEUR","MBANDAKA",91785,1,"04/01/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,2,0,NA,NA,2,0,0,2.2,1,53
"2","RDCEQTLKL07","RDC","EQUATEUR","LUKOLELA",149807,7,"02/15/16 00:00:00","CHOLERA",NA,NA,1,0,0,0,NA,NA,1,0,0,0.7,1,391
"3","RDCEQTMNK08","RDC","EQUATEUR","MONIEKA",50080,8,"02/22/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,0,0,NA,NA,1,0,0,2,1,492
"4","RDCEQTMKZ09","RDC","EQUATEUR","MAKANZA",67830,9,"02/29/16 00:00:00","CHOLERA",NA,NA,0,0,2,0,NA,NA,2,0,0,2.9,1,535
"5","RDCEQTMKZ10","RDC","EQUATEUR","MAKANZA",67830,10,"07/03/16 00:00:00","CHOLERA",NA,NA,6,0,3,0,NA,NA,9,0,0,13.3,1,624
"6","RDCEQTMKZ11","RDC","EQUATEUR","MAKANZA",67830,11,"03/14/16 00:00:00","CHOLERA",NA,NA,0,0,3,0,NA,NA,3,0,0,4.4,1,683
"7","RDCEQTNTD13","RDC","EQUATEUR","NTONDO",52584,13,"03/28/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,1,0,NA,NA,1,0,0,1.9,1,811
"8","RDCEQTIRB14","RDC","EQUATEUR","IREBU",37373,14,"04/04/16 00:00:00","CHOLERA",NA,NA,0,0,2,1,NA,NA,2,1,50,5.4,1,863
"9","RDCEQTMKZ14","RDC","EQUATEUR","MAKANZA",67830,14,"04/04/16 00:00:00","CHOLERA",NA,NA,0,0,3,1,NA,NA,3,1,33,4.4,1,894
"10","RDCEQTBLG14","RDC","EQUATEUR","BOLENGE",52736,14,"04/04/16 00:00:00","CHOLERA",NA,NA,0,0,1,0,NA,NA,1,0,0,1.9,1,900
"11","RDCEQTMKZ12","RDC","EQUATEUR","MAKANZA",67830,12,"03/21/16 00:00:00","CHOLERA",NA,NA,1,0,3,0,NA,NA,4,0,0,5.9,1,766
"12","RDCEQTWGT15","RDC","EQUATEUR","WANGATA",56256,15,"11/04/16 00:00:00","FIEVRE JAUNE",NA,NA,0,0,1,0,NA,NA,1,0,0,1.8,1,905
"13","RDCEQTBLG15","RDC","EQUATEUR","BOLENGE",52736,15,"11/04/16 00:00:00","FIEVRE JAUNE",NA,NA,1,0,0,0,NA,NA,1,0,0,1.9,1,911
"14","RDCEQTMKZ15","RDC","EQUATEUR","MAKANZA",67830,15,"11/04/16 00:00:00","CHOLERA",NA,NA,0,0,4,0,NA,NA,4,0,0,5.9,1,958
"15","RDCEQTLKL15","RDC","EQUATEUR","LUKOLELA",149807,15,"11/04/16 00:00:00","CHOLERA",NA,NA,0,0,2,0,NA,NA,2,0,0,1.3,1,966
"16","RDCEQTMKZ16","RDC","EQUATEUR","MAKANZA",67830,16,"04/18/16 00:00:00","CHOLERA",NA,NA,1,1,5,0,NA,NA,6,1,17,8.8,1,1001
